,AdjClose,Close,Date,High,Low,Open,Volume
0,"3,078.12","3,078.12","Apr 15, 2016","3,078.12","3,078.12","3,078.12",0
1,"3,082.36","3,082.36","Apr 14, 2016","3,082.36","3,082.36","3,082.36",0
2,"3,066.64","3,066.64","Apr 13, 2016","3,066.64","3,066.64","3,066.64",0
3,"3,033.96","3,033.96","Apr 11, 2016","3,033.96","3,033.96","3,033.96",0
4,"2,984.96","2,984.96","Apr 8, 2016","2,984.96","2,984.96","2,984.96",0
5,"3,008.42","3,008.42","Apr 7, 2016","3,008.42","3,008.42","3,008.42",0
6,"3,050.59","3,050.59","Apr 6, 2016","3,050.59","3,050.59","3,050.59",0
7,"3,053.07","3,053.07","Apr 5, 2016","3,053.07","3,053.07","3,053.07",0
8,"3,009.53","3,009.53","Apr 1, 2016","3,009.53","3,009.53","3,009.53",0
9,"3,003.92","3,003.92","Mar 31, 2016","3,003.92","3,003.92","3,003.92",0
10,"3,000.65","3,000.65","Mar 30, 2016","3,000.65","3,000.65","3,000.65",0
11,"2,919.83","2,919.83","Mar 29, 2016","2,919.83","2,919.83","2,919.83",0
12,"2,957.82","2,957.82","Mar 28, 2016","2,957.82","2,957.82","2,957.82",0
13,"2,979.43","2,979.43","Mar 25, 2016","2,979.43","2,979.43","2,979.43",0
14,"2,960.97","2,960.97","Mar 24, 2016","2,960.97","2,960.97","2,960.97",0
15,"3,009.96","3,009.96","Mar 23, 2016","3,009.96","3,009.96","3,009.96",0
16,"2,999.36","2,999.36","Mar 22, 2016","2,999.36","2,999.36","2,999.36",0
17,"3,018.80","3,018.80","Mar 21, 2016","3,018.80","3,018.80","3,018.80",0
18,"2,955.15","2,955.15","Mar 18, 2016","2,955.15","2,955.15","2,955.15",0
19,"2,904.83","2,904.83","Mar 17, 2016","2,904.83","2,904.83","2,904.83",0
20,"2,870.43","2,870.43","Mar 16, 2016","2,870.43","2,870.43","2,870.43",0
21,"2,864.37","2,864.37","Mar 15, 2016","2,864.37","2,864.37","2,864.37",0
22,"2,859.50","2,859.50","Mar 14, 2016","2,859.50","2,859.50","2,859.50",0
23,"2,810.31","2,810.31","Mar 11, 2016","2,810.31","2,810.31","2,810.31",0
24,"2,804.73","2,804.73","Mar 10, 2016","2,804.73","2,804.73","2,804.73",0
25,"2,862.56","2,862.56","Mar 9, 2016","2,862.56","2,862.56","2,862.56",0
26,"2,901.39","2,901.39","Mar 8, 2016","2,901.39","2,901.39","2,901.39",0
27,"2,897.34","2,897.34","Mar 7, 2016","2,897.34","2,897.34","2,897.34",0
28,"2,874.15","2,874.15","Mar 4, 2016","2,874.15","2,874.15","2,874.15",0
29,"2,859.76","2,859.76","Mar 3, 2016","2,859.76","2,859.76","2,859.76",0
30,"2,849.68","2,849.68","Mar 2, 2016","2,849.68","2,849.68","2,849.68",0
31,"2,733.17","2,733.17","Mar 1, 2016","2,733.17","2,733.17","2,733.17",0
32,"2,687.98","2,687.98","Feb 29, 2016","2,687.98","2,687.98","2,687.98",0
33,"2,767.21","2,767.21","Feb 26, 2016","2,767.21","2,767.21","2,767.21",0
34,"2,741.25","2,741.25","Feb 25, 2016","2,741.25","2,741.25","2,741.25",0
35,"2,928.90","2,928.90","Feb 24, 2016","2,928.90","2,928.90","2,928.90",0
36,"2,927.18","2,927.18","Feb 22, 2016","2,927.18","2,927.18","2,927.18",0
37,"2,862.89","2,862.89","Feb 18, 2016","2,862.89","2,862.89","2,862.89",0
38,"2,867.34","2,867.34","Feb 17, 2016","2,867.34","2,867.34","2,867.34",0
39,"2,836.57","2,836.57","Feb 16, 2016","2,836.57","2,836.57","2,836.57",0
40,"2,746.20","2,746.20","Feb 15, 2016","2,746.20","2,746.20","2,746.20",0
41,"2,763.49","2,763.49","Feb 5, 2016","2,763.49","2,763.49","2,763.49",0
42,"2,781.02","2,781.02","Feb 4, 2016","2,781.02","2,781.02","2,781.02",0
43,"2,739.25","2,739.25","Feb 3, 2016","2,739.25","2,739.25","2,739.25",0
44,"2,749.57","2,749.57","Feb 2, 2016","2,749.57","2,749.57","2,749.57",0
45,"2,688.85","2,688.85","Feb 1, 2016","2,688.85","2,688.85","2,688.85",0
46,"2,737.60","2,737.60","Jan 29, 2016","2,737.60","2,737.60","2,737.60",0
47,"2,655.66","2,655.66","Jan 28, 2016","2,655.66","2,655.66","2,655.66",0
48,"2,735.56","2,735.56","Jan 27, 2016","2,735.56","2,735.56","2,735.56",0
49,"2,749.79","2,749.79","Jan 26, 2016","2,749.79","2,749.79","2,749.79",0
50,"2,938.51","2,938.51","Jan 25, 2016","2,938.51","2,938.51","2,938.51",0
51,"2,916.56","2,916.56","Jan 22, 2016","2,916.56","2,916.56","2,916.56",0
52,"2,880.48","2,880.48","Jan 21, 2016","2,880.48","2,880.48","2,880.48",0
53,"2,976.69","2,976.69","Jan 20, 2016","2,976.69","2,976.69","2,976.69",0
54,"3,007.74","3,007.74","Jan 19, 2016","3,007.74","3,007.74","3,007.74",0
55,"2,913.84","2,913.84","Jan 18, 2016","2,913.84","2,913.84","2,913.84",0
56,"2,900.97","2,900.97","Jan 15, 2016","2,900.97","2,900.97","2,900.97",0
