,AdjClose,Close,Date,High,Low,Open,Volume
0,"5,157.50","5,157.50","Apr 15, 2016","5,157.50","5,111.70","5,118.50",0
1,"5,118.60","5,118.60","Apr 14, 2016","5,118.60","5,054.70","5,054.70",0
2,"5,054.70","5,054.70","Apr 13, 2016","5,054.70","4,975.60","4,975.60",0
3,"4,975.60","4,975.60","Apr 12, 2016","4,977.20","4,927.30","4,931.50",0
4,"4,931.50","4,931.50","Apr 11, 2016","4,943.20","4,910.80","4,937.60",0
5,"4,937.60","4,937.60","Apr 8, 2016","4,960.90","4,893.50","4,960.90",0
6,"4,964.10","4,964.10","Apr 7, 2016","4,984.90","4,945.10","4,945.90",0
7,"4,945.90","4,945.90","Apr 6, 2016","4,958.20","4,906.30","4,924.40",0
8,"4,924.40","4,924.40","Apr 5, 2016","4,995.30","4,909.10","4,995.30",0
9,"4,995.30","4,995.30","Apr 4, 2016","4,995.30","4,995.30","4,995.30",0
10,"4,999.40","4,999.40","Apr 1, 2016","5,082.80","4,976.30","5,082.80",0
11,"5,082.80","5,082.80","Mar 31, 2016","5,098.20","5,010.30","5,010.30",0
12,"5,010.30","5,010.30","Mar 30, 2016","5,058.80","4,989.90","5,004.50",0
13,"5,004.50","5,004.50","Mar 29, 2016","5,095.70","4,998.50","5,084.20",0
14,"5,084.20","5,084.20","Mar 24, 2016","5,142.30","5,069.20","5,142.30",0
15,"5,142.30","5,142.30","Mar 23, 2016","5,166.60","5,124.00","5,166.60",0
16,"5,166.60","5,166.60","Mar 22, 2016","5,181.60","5,152.60","5,161.50",0
17,"5,166.60","5,166.60","Mar 21, 2016","5,195.70","5,148.60","5,183.10",0
18,"5,183.10","5,183.10","Mar 18, 2016","5,216.20","5,168.20","5,168.20",0
19,"5,168.20","5,168.20","Mar 17, 2016","5,193.50","5,119.00","5,119.00",0
20,"5,119.00","5,119.00","Mar 16, 2016","5,122.40","5,088.20","5,111.40",0
21,"5,111.40","5,111.40","Mar 15, 2016","5,185.50","5,106.50","5,185.50",0
22,"5,185.50","5,185.50","Mar 14, 2016","5,214.00","5,166.40","5,166.40",0
23,"5,166.40","5,166.40","Mar 11, 2016","5,181.60","5,118.50","5,150.10",0
24,"5,150.10","5,150.10","Mar 10, 2016","5,177.20","5,149.70","5,157.20",0
25,"5,157.20","5,157.20","Mar 9, 2016","5,157.20","5,081.90","5,108.00",0
26,"5,108.00","5,108.00","Mar 8, 2016","5,182.50","5,103.40","5,142.80",0
27,"5,142.80","5,142.80","Mar 7, 2016","5,151.70","5,090.00","5,090.00",0
28,"5,090.00","5,090.00","Mar 4, 2016","5,105.00","5,081.10","5,081.10",0
29,"5,081.10","5,081.10","Mar 3, 2016","5,081.10","5,021.20","5,021.20",0
30,"5,021.20","5,021.20","Mar 2, 2016","5,047.00","4,922.30","4,922.30",0
31,"4,922.30","4,922.30","Mar 1, 2016","4,931.70","4,868.10","4,880.90",0
32,"4,880.90","4,880.90","Feb 29, 2016","4,925.70","4,878.80","4,880.00",0
33,"4,880.00","4,880.00","Feb 26, 2016","4,897.10","4,838.30","4,881.20",0
34,"4,881.20","4,881.20","Feb 25, 2016","4,902.00","4,844.30","4,875.00",0
35,"4,875.00","4,875.00","Feb 24, 2016","4,979.60","4,861.90","4,979.60",0
36,"4,979.60","4,979.60","Feb 23, 2016","5,035.60","4,969.40","5,001.20",0
37,"5,001.20","5,001.20","Feb 22, 2016","5,007.40","4,949.20","4,952.80",0
38,"4,952.80","4,952.80","Feb 19, 2016","4,992.00","4,937.00","4,992.00",0
39,"4,992.00","4,992.00","Feb 18, 2016","4,992.60","4,882.10","4,882.10",0
40,"4,882.10","4,882.10","Feb 17, 2016","4,926.30","4,869.70","4,910.00",0
41,"4,910.00","4,910.00","Feb 16, 2016","4,910.00","4,814.10","4,843.50",0
42,"4,843.50","4,843.50","Feb 15, 2016","4,853.90","4,765.30","4,765.30",0
43,"4,765.30","4,765.30","Feb 12, 2016","4,821.10","4,760.30","4,821.10",0
44,"4,821.10","4,821.10","Feb 11, 2016","4,821.10","4,770.70","4,775.70",0
45,"4,775.70","4,775.70","Feb 10, 2016","4,852.40","4,706.70","4,832.10",0
46,"4,832.10","4,832.10","Feb 9, 2016","4,975.40","4,826.90","4,975.40",0
47,"4,975.40","4,975.40","Feb 8, 2016","4,980.00","4,925.80","4,976.20",0
48,"4,976.20","4,976.20","Feb 5, 2016","4,983.30","4,932.90","4,980.40",0
49,"4,980.40","4,980.40","Feb 4, 2016","4,989.40","4,876.80","4,876.80",0
50,"4,876.80","4,876.80","Feb 3, 2016","4,993.30","4,873.60","4,993.30",0
51,"4,993.30","4,993.30","Feb 2, 2016","5,045.40","4,982.20","5,043.60",0
52,"5,043.60","5,043.60","Feb 1, 2016","5,073.00","5,005.50","5,005.50",0
53,"5,005.50","5,005.50","Jan 29, 2016","5,008.50","4,947.60","4,976.20",0
54,"4,976.20","4,976.20","Jan 28, 2016","4,988.90","4,909.40","4,946.40",0
55,"4,946.40","4,946.40","Jan 27, 2016","5,009.50","4,937.90","5,006.60",0
56,"5,006.60","5,006.60","Jan 25, 2016","5,006.60","4,916.00","4,916.00",0
57,"4,916.00","4,916.00","Jan 22, 2016","4,932.10","4,864.00","4,883.60",0
58,"4,864.00","4,864.00","Jan 21, 2016","4,928.10","4,841.50","4,841.50",0
59,"4,841.50","4,841.50","Jan 20, 2016","4,930.10","4,836.80","4,903.10",0
60,"4,903.10","4,903.10","Jan 19, 2016","4,903.10","4,840.20","4,857.30",0
61,"4,858.70","4,858.70","Jan 18, 2016","4,892.80","4,803.90","4,869.20",0
62,"4,892.80","4,892.80","Jan 15, 2016","4,997.10","4,870.30","4,929.80",0
63,"4,909.40","4,909.40","Jan 14, 2016","4,987.40","4,865.00","4,987.40",0
64,"4,987.40","4,987.40","Jan 13, 2016","4,992.40","4,925.10","4,925.10",0
65,"4,925.10","4,925.10","Jan 12, 2016","4,983.70","4,910.70","4,932.20",0
66,"4,932.20","4,932.20","Jan 11, 2016","4,990.80","4,880.10","4,990.80",0
67,"4,990.80","4,990.80","Jan 8, 2016","5,034.30","4,940.30","5,010.30",0
68,"5,010.30","5,010.30","Jan 7, 2016","5,124.10","4,996.50","5,123.10",0
69,"5,123.10","5,123.10","Jan 6, 2016","5,191.10","5,094.80","5,184.40",0
70,"5,184.40","5,184.40","Jan 5, 2016","5,270.50","5,183.70","5,270.50",0
71,"5,270.50","5,270.50","Jan 4, 2016","5,331.40","5,263.80","5,295.90",0
72,"5,295.90","5,295.90","Dec 31, 2015","5,325.80","5,295.90","5,319.90",0
73,"5,319.90","5,319.90","Dec 30, 2015","5,324.30","5,267.30","5,267.30",0
74,"5,267.30","5,267.30","Dec 29, 2015","5,267.30","5,189.10","5,207.60",0
75,"5,207.60","5,207.60","Dec 24, 2015","5,211.50","5,141.80","5,141.80",0
76,"5,141.80","5,141.80","Dec 23, 2015","5,168.60","5,116.70","5,116.70",0
77,"5,116.70","5,116.70","Dec 22, 2015","5,159.90","5,103.10","5,109.00",0
78,"5,109.00","5,109.00","Dec 21, 2015","5,126.30","5,075.20","5,106.70",0
79,"5,106.70","5,106.70","Dec 18, 2015","5,112.70","5,026.60","5,102.00",0
80,"5,102.00","5,102.00","Dec 17, 2015","5,129.10","5,028.40","5,028.40",0
81,"5,028.40","5,028.40","Dec 16, 2015","5,028.40","4,909.60","4,909.60",0
