,AdjClose,Close,Date,High,Low,Open,Volume
0,"6,343.80","6,343.80","Apr 15, 2016","6,372.50","6,328.20","6,365.10","757,416,400"
1,"6,365.10","6,365.10","Apr 14, 2016","6,373.90","6,335.40","6,362.90","827,513,200"
2,"6,362.90","6,362.90","Apr 13, 2016","6,362.90","6,242.40","6,242.40","929,198,000"
3,"6,242.40","6,242.40","Apr 12, 2016","6,248.30","6,176.30","6,200.10","669,433,600"
4,"6,200.10","6,200.10","Apr 11, 2016","6,229.70","6,165.50","6,204.40","536,008,900"
5,"6,204.40","6,204.40","Apr 8, 2016","6,216.30","6,136.90","6,136.90","603,464,000"
6,"6,136.90","6,136.90","Apr 7, 2016","6,204.10","6,119.40","6,161.60","739,096,200"
7,"6,161.60","6,161.60","Apr 6, 2016","6,161.60","6,091.20","6,091.20","716,501,500"
8,"6,091.20","6,091.20","Apr 5, 2016","6,164.70","6,061.90","6,164.70","801,242,300"
9,"6,164.70","6,164.70","Apr 4, 2016","6,202.00","6,132.90","6,146.10","530,284,200"
10,"6,146.10","6,146.10","Apr 1, 2016","6,174.90","6,076.90","6,174.90","725,054,600"
11,"6,174.90","6,174.90","Mar 31, 2016","6,203.40","6,149.80","6,203.20","724,007,600"
12,"6,203.20","6,203.20","Mar 30, 2016","6,221.80","6,105.90","6,105.90","779,696,700"
13,"6,105.90","6,105.90","Mar 29, 2016","6,156.70","6,070.80","6,106.50","582,189,300"
14,"6,106.50","6,106.50","Mar 24, 2016","6,199.10","6,090.00","6,199.10","606,523,700"
15,"6,199.10","6,199.10","Mar 23, 2016","6,216.80","6,171.10","6,192.70","603,287,100"
16,"6,192.70","6,192.70","Mar 22, 2016","6,193.50","6,110.40","6,184.60","716,814,900"
17,"6,184.60","6,184.60","Mar 21, 2016","6,215.30","6,154.10","6,189.60","516,111,500"
18,"6,189.60","6,189.60","Mar 18, 2016","6,237.00","6,186.20","6,201.10","1,095,973,700"
19,"6,201.10","6,201.10","Mar 17, 2016","6,220.00","6,125.70","6,175.50","807,636,500"
20,"6,175.50","6,175.50","Mar 16, 2016","6,186.20","6,134.30","6,140.00","679,738,500"
21,"6,140.00","6,140.00","Mar 15, 2016","6,174.60","6,114.80","6,174.60","679,303,900"
22,"6,174.60","6,174.60","Mar 14, 2016","6,197.80","6,139.80","6,139.80","668,605,400"
23,"6,139.80","6,139.80","Mar 11, 2016","6,150.90","6,036.70","6,036.70","700,052,600"
24,"6,036.70","6,036.70","Mar 10, 2016","6,203.40","6,036.70","6,146.30","1,024,618,000"
25,"6,146.30","6,146.30","Mar 9, 2016","6,174.80","6,118.20","6,125.40","735,581,400"
26,"6,125.40","6,125.40","Mar 8, 2016","6,182.50","6,101.90","6,182.40","886,111,500"
27,"6,182.40","6,182.40","Mar 7, 2016","6,216.10","6,125.60","6,199.40","793,417,200"
28,"6,199.40","6,199.40","Mar 4, 2016","6,204.10","6,130.50","6,130.50","840,450,500"
29,"6,130.50","6,130.50","Mar 3, 2016","6,173.70","6,108.40","6,147.10","876,988,500"
30,"6,147.10","6,147.10","Mar 2, 2016","6,194.00","6,097.80","6,152.90","878,482,700"
31,"6,152.90","6,152.90","Mar 1, 2016","6,153.80","6,070.50","6,097.10","905,617,400"
32,"6,097.10","6,097.10","Feb 29, 2016","6,105.00","6,033.20","6,096.00","931,711,000"
33,"6,096.00","6,096.00","Feb 26, 2016","6,115.40","6,012.80","6,012.80","833,169,500"
34,"6,012.80","6,012.80","Feb 25, 2016","6,029.00","5,867.20","5,867.20",0
35,"5,867.20","5,867.20","Feb 24, 2016","5,966.70","5,845.60","5,962.30","809,642,000"
36,"5,962.30","5,962.30","Feb 23, 2016","6,037.70","5,954.20","6,037.70","725,213,500"
37,"6,037.70","6,037.70","Feb 22, 2016","6,065.80","5,950.20","5,950.20","797,443,800"
38,"5,950.20","5,950.20","Feb 19, 2016","6,001.20","5,916.30","5,972.00","672,114,300"
39,"5,972.00","5,972.00","Feb 18, 2016","6,036.50","5,948.30","6,030.30","785,745,600"
40,"6,030.30","6,030.30","Feb 17, 2016","6,030.30","5,862.20","5,862.20","921,163,400"
41,"5,862.20","5,862.20","Feb 16, 2016","5,880.70","5,812.50","5,824.30","747,963,000"
42,"5,824.30","5,824.30","Feb 15, 2016","5,844.50","5,707.60","5,707.60","702,916,100"
43,"5,707.60","5,707.60","Feb 12, 2016","5,707.60","5,537.00","5,537.00","1,051,089,200"
44,"5,537.00","5,537.00","Feb 11, 2016","5,672.30","5,499.50","5,672.30",0
45,"5,672.30","5,672.30","Feb 10, 2016","5,712.80","5,616.90","5,632.20","964,970,500"
46,"5,632.20","5,632.20","Feb 9, 2016","5,739.30","5,596.30","5,689.40","1,112,497,500"
47,"5,689.40","5,689.40","Feb 8, 2016","5,882.40","5,666.10","5,848.10","968,728,200"
48,"5,848.10","5,848.10","Feb 5, 2016","5,945.90","5,839.40","5,898.80","954,158,300"
49,"5,898.80","5,898.80","Feb 4, 2016","5,938.10","5,831.10","5,837.10","1,021,666,600"
50,"5,837.10","5,837.10","Feb 3, 2016","5,924.60","5,791.00","5,922.00","996,202,200"
