,AdjClose,Close,Date,High,Low,Open,Volume
0,"2,080.73","2,080.73","Apr 15, 2016","2,083.22","2,076.31","2,083.10","3,701,450,000"
1,"2,082.78","2,082.78","Apr 14, 2016","2,087.84","2,078.13","2,082.89","3,765,870,000"
2,"2,082.42","2,082.42","Apr 13, 2016","2,083.18","2,065.92","2,065.92","4,191,830,000"
3,"2,061.72","2,061.72","Apr 12, 2016","2,065.05","2,039.74","2,043.72","4,239,740,000"
4,"2,041.99","2,041.99","Apr 11, 2016","2,062.93","2,041.88","2,050.23","3,567,840,000"
5,"2,047.60","2,047.60","Apr 8, 2016","2,060.63","2,041.69","2,045.54","3,359,530,000"
6,"2,041.91","2,041.91","Apr 7, 2016","2,063.01","2,033.80","2,063.01","3,801,250,000"
7,"2,066.66","2,066.66","Apr 6, 2016","2,067.33","2,043.09","2,045.56","3,750,800,000"
8,"2,045.17","2,045.17","Apr 5, 2016","2,062.50","2,042.56","2,062.50","4,154,920,000"
9,"2,066.13","2,066.13","Apr 4, 2016","2,074.02","2,062.57","2,073.19","3,485,710,000"
10,"2,072.78","2,072.78","Apr 1, 2016","2,075.07","2,043.98","2,056.62","3,749,990,000"
11,"2,059.74","2,059.74","Mar 31, 2016","2,067.92","2,057.46","2,063.77","3,715,280,000"
12,"2,063.95","2,063.95","Mar 30, 2016","2,072.21","2,058.27","2,058.27","3,590,310,000"
13,"2,055.01","2,055.01","Mar 29, 2016","2,055.91","2,028.31","2,035.75","3,822,330,000"
14,"2,037.05","2,037.05","Mar 28, 2016","2,042.67","2,031.96","2,037.89","2,809,090,000"
15,"2,035.94","2,035.94","Mar 24, 2016","2,036.04","2,022.49","2,032.48","3,407,720,000"
16,"2,036.71","2,036.71","Mar 23, 2016","2,048.55","2,034.86","2,048.55","3,639,510,000"
17,"2,049.80","2,049.80","Mar 22, 2016","2,056.60","2,040.57","2,048.64","3,418,460,000"
18,"2,051.60","2,051.60","Mar 21, 2016","2,053.91","2,043.14","2,047.88","3,376,600,000"
19,"2,049.58","2,049.58","Mar 18, 2016","2,052.36","2,041.16","2,041.16","6,503,140,000"
20,"2,040.59","2,040.59","Mar 17, 2016","2,046.24","2,022.16","2,026.90","4,530,480,000"
21,"2,027.22","2,027.22","Mar 16, 2016","2,032.02","2,010.04","2,014.24","4,057,020,000"
22,"2,015.93","2,015.93","Mar 15, 2016","2,015.94","2,005.23","2,015.27","3,560,280,000"
23,"2,019.64","2,019.64","Mar 14, 2016","2,024.57","2,012.05","2,019.27","3,487,850,000"
24,"2,022.19","2,022.19","Mar 11, 2016","2,022.37","1,994.71","1,994.71","4,078,620,000"
25,"1,989.57","1,989.57","Mar 10, 2016","2,005.08","1,969.25","1,990.97","4,376,790,000"
26,"1,989.26","1,989.26","Mar 9, 2016","1,992.69","1,979.84","1,981.44","4,038,120,000"
27,"1,979.26","1,979.26","Mar 8, 2016","1,996.88","1,977.43","1,996.88","4,641,650,000"
28,"2,001.76","2,001.76","Mar 7, 2016","2,006.12","1,989.38","1,996.11","4,968,180,000"
29,"1,999.99","1,999.99","Mar 4, 2016","2,009.13","1,986.77","1,994.01","6,049,930,000"
30,"1,993.40","1,993.40","Mar 3, 2016","1,993.69","1,977.37","1,985.60","5,081,700,000"
31,"1,986.45","1,986.45","Mar 2, 2016","1,986.51","1,968.80","1,976.60","4,666,610,000"
32,"1,978.35","1,978.35","Mar 1, 2016","1,978.35","1,937.09","1,937.09","4,819,750,000"
33,"1,932.23","1,932.23","Feb 29, 2016","1,958.27","1,931.81","1,947.13","4,588,180,000"
34,"1,948.05","1,948.05","Feb 26, 2016","1,962.96","1,945.78","1,954.95","4,348,510,000"
35,"1,951.70","1,951.70","Feb 25, 2016","1,951.83","1,925.41","1,931.87","4,118,210,000"
36,"1,929.80","1,929.80","Feb 24, 2016","1,932.08","1,891.00","1,917.56","4,317,250,000"
37,"1,921.27","1,921.27","Feb 23, 2016","1,942.38","1,919.44","1,942.38","3,890,650,000"
38,"1,945.50","1,945.50","Feb 22, 2016","1,946.70","1,924.44","1,924.44","4,054,710,000"
39,"1,917.78","1,917.78","Feb 19, 2016","1,918.78","1,902.17","1,916.74","4,142,850,000"
40,"1,917.83","1,917.83","Feb 18, 2016","1,930.00","1,915.09","1,927.57","4,436,490,000"
41,"1,926.82","1,926.82","Feb 17, 2016","1,930.68","1,898.80","1,898.80","5,011,540,000"
42,"1,895.58","1,895.58","Feb 16, 2016","1,895.77","1,871.44","1,871.44","4,570,670,000"
43,"1,864.78","1,864.78","Feb 12, 2016","1,864.78","1,833.40","1,833.40","4,696,920,000"
44,"1,829.08","1,829.08","Feb 11, 2016","1,847.00","1,810.10","1,847.00","5,500,800,000"
45,"1,851.86","1,851.86","Feb 10, 2016","1,881.60","1,850.32","1,857.10","4,471,170,000"
46,"1,852.21","1,852.21","Feb 9, 2016","1,868.25","1,834.94","1,848.46","5,183,220,000"
47,"1,853.44","1,853.44","Feb 8, 2016","1,873.25","1,828.46","1,873.25","5,636,460,000"
48,"1,880.05","1,880.05","Feb 5, 2016","1,913.07","1,872.65","1,913.07","4,929,940,000"
49,"1,915.45","1,915.45","Feb 4, 2016","1,927.35","1,900.52","1,911.67","5,193,320,000"
