,AdjClose,Close,Date,High,Low,Open,Volume
0,"16,848.03","16,848.03","Apr 15, 2016","16,928.67","16,720.39","16,720.39","129,300"
1,"16,911.05","16,911.05","Apr 14, 2016","16,911.05","16,602.17","16,629.83","170,100"
2,"16,381.22","16,381.22","Apr 13, 2016","16,405.59","16,132.23","16,142.71","154,000"
3,"15,928.79","15,928.79","Apr 12, 2016","15,963.03","15,693.61","15,719.24",0
4,"15,751.13","15,751.13","Apr 11, 2016","15,778.74","15,525.49","15,761.57","126,000"
5,"15,821.52","15,821.52","Apr 8, 2016","16,027.63","15,471.80","15,597.04","171,500"
6,"15,749.84","15,749.84","Apr 7, 2016","15,871.10","15,636.21","15,739.26","141,600"
7,"15,715.36","15,715.36","Apr 6, 2016","15,828.61","15,612.91","15,727.70","146,000"
8,"15,732.82","15,732.82","Apr 5, 2016","16,066.18","15,698.55","16,044.23","153,400"
9,"16,123.27","16,123.27","Apr 4, 2016","16,238.51","16,029.50","16,087.76","140,500"
10,"16,164.16","16,164.16","Apr 1, 2016","16,719.56","16,113.01","16,719.56","173,000"
11,"16,758.67","16,758.67","Mar 31, 2016","17,033.65","16,758.67","16,997.14","152,800"
12,"16,878.96","16,878.96","Mar 30, 2016","17,078.03","16,875.91","17,078.03","127,300"
13,"17,103.53","17,103.53","Mar 29, 2016","17,137.20","16,948.43","16,985.28",0
14,"17,134.37","17,134.37","Mar 28, 2016","17,167.88","16,961.41","17,129.27","119,800"
15,"17,002.75","17,002.75","Mar 25, 2016","17,026.14","16,889.40","16,949.53","122,700"
16,"16,892.33","16,892.33","Mar 24, 2016","17,041.16","16,843.99","16,979.39","137,800"
17,"17,000.98","17,000.98","Mar 23, 2016","17,142.08","16,964.31","17,066.27",0
18,"17,048.55","17,048.55","Mar 22, 2016","17,107.80","16,851.21","16,937.31","132,100"
19,"16,724.81","16,724.81","Mar 18, 2016","16,920.91","16,613.69","16,883.75","151,000"
20,"16,936.38","16,936.38","Mar 17, 2016","17,253.03","16,814.84","17,107.60",0
21,"16,974.45","16,974.45","Mar 16, 2016","17,102.45","16,950.84","16,981.36","122,600"
22,"17,117.07","17,117.07","Mar 15, 2016","17,279.30","17,042.56","17,219.89",0
23,"17,233.75","17,233.75","Mar 14, 2016","17,291.35","17,149.21","17,155.52",0
24,"16,938.87","16,938.87","Mar 11, 2016","17,015.30","16,575.75","16,610.18","192,100"
25,"16,852.35","16,852.35","Mar 10, 2016","16,887.60","16,713.13","16,811.00","131,500"
26,"16,642.20","16,642.20","Mar 9, 2016","16,706.25","16,494.80","16,625.59","155,900"
27,"16,783.15","16,783.15","Mar 8, 2016","16,909.79","16,570.22","16,889.48","177,300"
28,"16,911.32","16,911.32","Mar 7, 2016","17,026.25","16,894.58","17,024.64",0
29,"17,014.78","17,014.78","Mar 4, 2016","17,042.92","16,861.38","16,927.36","178,100"
30,"16,960.16","16,960.16","Mar 3, 2016","16,962.95","16,691.94","16,695.78",0
31,"16,746.55","16,746.55","Mar 2, 2016","16,815.25","16,388.92","16,391.48","169,800"
32,"16,085.51","16,085.51","Mar 1, 2016","16,099.42","15,857.37","16,013.00","147,700"
33,"16,026.76","16,026.76","Feb 29, 2016","16,464.75","16,026.76","16,313.31","159,400"
34,"16,188.41","16,188.41","Feb 26, 2016","16,472.50","16,188.41","16,311.52","143,000"
35,"16,140.34","16,140.34","Feb 25, 2016","16,218.29","15,953.93","15,983.47","164,700"
36,"15,915.79","15,915.79","Feb 24, 2016","16,006.45","15,753.77","15,851.13","147,100"
37,"16,052.05","16,052.05","Feb 23, 2016","16,350.38","16,001.19","16,230.38","160,200"
38,"16,111.05","16,111.05","Feb 22, 2016","16,187.40","15,816.83","15,851.39",0
39,"15,967.17","15,967.17","Feb 19, 2016","16,050.46","15,799.35","16,050.40","156,800"
40,"16,196.80","16,196.80","Feb 18, 2016","16,337.59","16,118.80","16,138.08","182,200"
41,"15,836.36","15,836.36","Feb 17, 2016","16,214.66","15,632.12","16,035.35",0
42,"16,054.43","16,054.43","Feb 16, 2016","16,341.56","15,809.58","15,849.47","218,200"
43,"16,022.58","16,022.58","Feb 15, 2016","16,155.10","15,243.88","15,248.38","225,200"
44,"14,952.61","14,952.61","Feb 12, 2016","15,437.22","14,865.77","15,426.27","330,300"
45,"15,713.39","15,713.39","Feb 10, 2016","16,163.03","15,429.99","16,127.86","275,000"
46,"16,085.44","16,085.44","Feb 9, 2016","16,668.70","16,025.94","16,666.79","221,400"
47,"17,004.30","17,004.30","Feb 8, 2016","17,099.01","16,552.30","16,620.91",0
48,"16,819.59","16,819.59","Feb 5, 2016","16,893.12","16,627.80","16,790.53","252,100"
49,"17,044.99","17,044.99","Feb 4, 2016","17,209.56","16,941.88","17,071.11","231,600"
50,"17,191.25","17,191.25","Feb 3, 2016","17,515.68","17,080.57","17,497.41","221,600"
51,"17,750.68","17,750.68","Feb 2, 2016","17,864.70","17,684.66","17,716.52","194,800"
52,"17,865.23","17,865.23","Feb 1, 2016","17,905.37","17,666.48","17,699.60",0
53,"17,518.30","17,518.30","Jan 29, 2016","17,638.93","16,767.09","17,155.06","285,600"
54,"17,041.45","17,041.45","Jan 28, 2016","17,235.44","16,942.13","17,059.84","136,700"
55,"17,163.92","17,163.92","Jan 27, 2016","17,242.27","16,947.95","16,949.19",0
56,"16,708.90","16,708.90","Jan 26, 2016","16,839.52","16,652.26","16,833.13","142,600"
57,"17,110.91","17,110.91","Jan 25, 2016","17,208.24","16,922.21","17,145.81","152,300"
